"","ia_1ad","ia_2ad","ia_3ad","ia_4ad","ia_5ad","ia_6ad","ia_7men","ia_8men","ia_9men","ia_10men","ia_11men","ia_12men","plb_m","tot_integ"
"209",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"210",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"211",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"212",1,0,0,1,0,0,0,0,0,0,0,0,0,4
"213",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"214",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"215",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"216",1,0,1,0,0,0,1,1,1,1,1,1,1,4
"217",1,1,1,1,1,0,1,1,1,1,0,0,1,10
"218",0,0,1,0,1,0,0,0,0,0,0,0,0,4
"219",1,1,1,0,1,0,1,1,1,1,1,0,1,4
"220",0,0,0,0,0,0,1,0,0,0,0,0,0,2
"221",0,0,0,0,0,0,0,0,0,0,0,0,1,7
"222",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"223",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"224",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"225",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"226",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"227",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"228",1,1,1,1,1,0,0,0,1,0,0,0,0,3
"229",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"230",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"231",0,0,0,0,0,0,0,0,0,0,0,0,0,8
"232",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"233",1,0,0,0,1,0,1,1,0,0,0,0,0,5
"234",1,0,0,1,1,0,1,1,0,0,0,1,0,5
"235",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"236",1,1,1,1,1,1,1,1,1,1,1,1,0,6
"237",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"238",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"239",1,1,1,1,1,1,1,1,1,1,1,1,0,8
"240",1,0,1,0,0,0,1,1,1,0,0,0,0,4
"241",1,0,0,1,1,1,0,0,0,0,0,0,0,2
"242",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"243",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"244",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"245",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"246",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"247",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"248",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"249",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"250",1,0,0,0,0,0,1,1,0,0,0,0,1,3
"251",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"252",0,0,0,0,0,0,0,0,0,0,0,0,0,9
"253",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"254",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"255",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"256",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"257",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"258",1,0,1,0,0,0,1,1,1,0,0,0,1,4
"259",1,1,1,1,0,0,1,1,0,0,0,0,1,5
"260",1,0,1,0,1,0,1,1,1,0,0,0,1,4
"261",1,0,0,0,0,0,0,0,0,0,0,0,0,6
"262",1,1,1,1,1,1,1,1,1,1,1,1,1,3
"263",0,1,1,1,1,0,0,0,0,0,0,0,0,4
"264",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"265",1,1,1,0,0,0,1,1,1,1,0,0,1,6
"266",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"267",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"268",0,0,0,0,1,0,0,0,0,0,0,0,0,4
"269",1,1,1,1,1,1,0,0,0,0,0,0,1,5
"270",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"271",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"272",0,0,1,0,1,0,0,0,0,0,0,0,0,6
"273",1,0,1,1,1,0,0,0,0,0,0,0,0,3
"274",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"275",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"276",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"277",0,0,0,0,0,0,0,0,0,0,0,0,1,8
"278",1,0,1,0,0,1,0,0,1,0,0,0,0,3
"279",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"280",1,1,1,1,0,0,1,0,0,0,0,0,1,7
"281",0,0,1,0,1,0,0,0,0,0,0,0,0,4
"282",0,0,0,0,0,0,0,0,0,0,0,0,1,6
"283",1,1,1,1,0,0,1,1,1,1,1,1,1,8
"284",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"285",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"286",0,0,0,0,1,0,0,0,0,0,0,0,1,6
"287",0,1,0,1,0,0,0,0,0,0,0,0,0,4
"288",0,0,0,0,0,1,0,0,0,0,0,0,0,3
"289",1,0,1,0,0,0,0,0,0,0,0,0,0,4
"290",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"291",1,0,0,0,0,0,1,0,0,0,0,0,0,2
"292",0,0,1,0,0,0,0,0,0,0,0,0,0,3
"293",0,0,0,0,0,0,0,0,0,0,0,0,0,15
"294",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"295",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"296",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"297",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"298",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"299",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"300",1,1,1,1,0,1,1,0,1,1,1,0,0,8
"301",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"302",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"303",1,0,0,0,0,0,1,0,0,0,0,0,0,6
"304",1,0,0,0,0,0,0,0,0,0,0,0,0,9
"305",1,1,1,1,1,1,1,1,1,1,1,1,1,6
"306",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"307",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"308",1,1,1,1,1,1,1,1,1,0,0,0,0,3
"309",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"310",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"311",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"312",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"313",1,0,0,0,0,0,1,0,0,0,0,0,0,3
"314",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"315",1,0,0,0,0,0,0,0,0,0,0,0,1,5
"316",1,1,1,1,1,1,1,1,1,1,0,0,0,6
"317",0,0,1,0,0,0,0,0,0,0,0,0,1,6
"318",1,0,1,0,0,0,0,0,0,0,0,0,0,3
"319",1,0,0,0,0,0,0,0,0,0,0,0,0,5
"320",1,1,1,1,1,1,1,1,1,1,1,0,0,5
"321",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"322",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"323",0,0,0,0,0,0,1,1,0,1,1,0,0,3
"324",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"325",1,0,0,0,0,0,0,0,0,0,0,0,0,3
"326",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"327",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"328",0,0,0,0,0,0,0,0,0,0,0,0,1,7
"329",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"330",1,0,0,0,1,0,1,0,0,0,0,0,0,3
"331",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"332",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"333",1,0,1,1,0,0,0,0,0,0,0,0,0,5
"334",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"335",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"336",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"337",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"338",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"339",0,1,0,0,0,0,0,0,0,0,0,0,0,3
"340",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"341",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"342",1,1,1,1,1,1,1,1,1,1,0,0,0,4
"343",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"344",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"345",1,1,1,0,0,0,1,1,1,0,0,0,1,5
"346",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"347",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"348",1,1,1,1,1,1,1,1,1,1,1,0,0,10
"349",1,0,1,0,1,0,0,0,0,0,0,0,0,6
"350",0,0,1,0,0,0,0,0,0,0,0,0,0,5
"351",1,0,0,0,0,0,1,0,0,0,0,0,0,5
"352",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"353",1,0,1,0,0,0,0,0,0,0,0,0,0,6
"354",1,0,1,1,1,0,1,1,1,1,1,0,0,8
"355",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"356",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"357",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"358",0,0,0,0,0,0,1,0,0,0,0,0,0,4
"359",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"360",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"361",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"362",1,0,1,0,0,0,1,0,0,0,0,0,0,4
"363",1,0,0,0,0,0,0,0,0,0,0,0,0,2
"364",1,1,1,1,1,1,1,1,1,1,1,1,1,6
"365",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"366",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"367",1,0,1,1,0,0,1,0,0,0,0,0,1,5
"368",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"369",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"370",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"371",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"372",1,1,1,0,1,1,1,0,0,0,0,0,0,4
"373",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"374",0,0,0,0,0,0,0,0,0,0,0,0,0,8
"375",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"376",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"377",1,0,0,0,0,0,1,0,0,0,0,0,0,4
"378",1,0,0,0,0,0,1,1,1,0,0,0,0,3
"379",1,0,0,0,0,0,1,0,0,0,0,0,1,7
"380",1,1,1,0,1,1,1,1,1,1,1,1,1,8
"381",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"382",1,0,0,0,0,0,1,0,0,0,0,0,0,6
"383",0,0,0,0,0,0,0,0,0,0,0,0,0,7
"384",0,0,0,0,0,0,0,0,0,0,0,0,1,7
"385",1,1,1,1,1,1,1,1,1,1,1,0,0,5
"386",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"387",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"388",1,0,1,0,0,1,1,1,1,0,0,0,0,4
"389",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"390",1,1,1,0,1,0,1,0,0,0,0,0,0,4
"391",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"392",1,0,0,0,0,0,1,1,1,1,0,0,1,6
"393",1,1,1,0,1,1,1,0,0,0,0,0,1,3
"394",0,1,0,1,0,0,0,0,0,0,0,0,0,4
"395",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"396",0,0,0,0,0,0,0,0,0,0,0,0,1,5
"397",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"398",1,1,1,0,0,0,1,0,0,0,0,0,0,5
"399",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"400",1,1,1,0,0,0,0,0,0,0,0,0,0,3
"401",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"402",1,1,1,0,1,1,1,0,0,0,0,0,0,4
"403",0,0,0,0,0,0,0,0,0,0,0,0,1,3
"404",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"405",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"406",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"407",1,1,1,1,0,1,0,0,0,0,0,0,0,5
"408",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"409",0,0,0,0,0,0,1,0,0,0,0,0,0,6
"410",1,0,1,0,0,0,1,0,0,0,0,0,0,6
"411",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"412",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"413",1,0,0,0,0,0,1,0,0,0,0,0,1,6
"414",1,1,1,0,0,0,0,0,0,0,0,0,1,3
"415",0,0,0,0,0,0,0,0,0,0,0,0,0,11
"416",1,0,1,1,0,0,1,1,0,0,0,0,0,5
"417",1,0,0,0,0,0,1,0,0,0,0,0,0,5
"418",0,0,0,0,0,0,0,0,0,0,0,0,1,4
"419",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"420",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"421",0,0,0,0,0,0,1,0,0,0,0,0,1,6
"422",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"423",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"424",1,0,0,0,0,0,0,0,0,0,0,0,0,4
"425",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"426",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"427",1,0,1,1,0,0,1,1,1,0,0,0,0,5
"428",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"429",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"430",0,0,0,0,0,0,0,0,0,0,0,0,0,2
"431",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"432",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"433",0,0,0,0,0,0,0,0,0,0,0,0,0,5
"434",0,0,0,0,0,0,0,0,0,0,0,0,0,3
"435",0,0,0,0,0,0,0,0,0,0,0,0,0,6
"436",1,1,1,1,0,1,1,0,1,0,0,0,0,6
"437",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"438",1,0,0,0,0,0,0,0,0,0,0,0,1,7
"439",1,0,1,0,1,0,1,1,1,1,0,0,1,12
"440",0,0,0,0,0,0,0,0,0,0,0,0,1,6
"441",0,0,0,0,0,0,0,0,0,0,0,0,0,4
"442",1,1,1,1,1,1,1,1,1,1,1,1,0,4
